1718368680,2,1,1,2,
1718376092,2,1,1,2,
1718376101,2,1,1,2,
1718831297,2,1,1,2,
1718837365,2,1,1,2,
1718839902,2,1,1,2,
1718915431,9,2,3,2,
1718915531,9,2,3,4,
1718915660,9,7,3,4,
1718915708,9,8,3,3,
1718915776,9,8,3,3,
1718915806,9,8,3,3,
1718915902,9,8,3,3,
1718915940,9,8,3,3,
1718915971,9,8,3,3,
1718916024,9,8,3,3,
1718916070,9,8,3,4,
1718916114,9,4,3,2,
1718916142,9,8,3,4,
1718916301,9,8,3,7,
1718916359,9,8,3,7,
1718916453,9,8,3,7,
1718916779,9,8,3,7,
1718916824,9,8,3,7,
1718916838,9,8,3,7,
1718916854,9,8,3,7,
1718917041,9,8,3,7,
1718917106,9,8,3,7,
1718917123,9,8,3,7,
1718917152,9,8,3,7,
1718917264,9,8,3,7,
1718917285,9,8,3,7,
1718917291,9,8,3,7,
1718917380,9,8,3,7,
1718917429,9,8,3,7,
1718917465,9,8,3,7,
1718917495,9,8,3,7,
1718917503,9,8,3,7,
1718917516,9,8,3,7,
1718917702,9,8,3,7,
1718917726,9,8,3,7,
1718917892,9,8,3,7,
1718917946,9,8,3,7,
1719680742,9,8,3,7,
